speed_percent,pwm_percent,speed
0.0,19.0,0.0
1.23,20.0,2.4
7.41,25.0,9.398
13.58,30.0,13.6
25.93,40.0,18.36
38.27,50.0,24.6
50.62,60.0,31.32
62.96,70.0,32.18
75.31,80.0,38.2
87.65,90.0,40.5
100.0,100.0,48.48
